passenger_id,seat_number,group,is_child,is_man,is_woman,is_wchr,is_wchb
0,23,[11],"[3.9840383080606543, 35.628890662410214]",0,0,0,0
1,104,1,0,0,1,0,0
2,134,1,0,1,0,0,0
3,107,1,1,0,0,0,0
4,105,1,1,0,0,0,0
5,102,1,1,0,0,0,0
6,100,1,1,0,0,0,0
7,101,1,1,0,0,0,0
8,108,1,1,0,0,0,0
9,99,1,1,0,0,0,0
10,106,1,1,0,0,0,0
11,133,1,1,0,0,0,0
12,118,2,1,0,0,0,0
13,119,2,1,0,0,0,0
14,117,2,1,0,0,0,0
15,115,2,1,0,0,0,0
16,125,2,1,0,0,0,0
17,116,2,1,0,0,0,0
18,61,3,0,1,0,0,0
19,62,3,1,0,0,0,0
20,63,3,1,0,0,0,0
21,59,4,1,0,0,0,0
22,60,4,1,0,0,0,0
23,130,5,1,0,0,0,0
24,57,6,0,1,0,0,0
25,56,6,1,0,0,0,0
26,55,6,1,0,0,0,0
27,4,7,0,1,0,0,0
28,5,7,1,0,0,0,0
29,6,7,1,0,0,0,0
30,79,8,1,0,0,0,0
31,91,8,1,0,0,0,0
32,80,8,1,0,0,0,0
33,87,8,1,0,0,0,0
34,92,8,1,0,0,0,0
35,85,8,1,0,0,0,0
36,81,8,1,0,0,0,0
37,86,8,1,0,0,0,0
38,121,9,1,0,0,0,0
39,122,9,1,0,0,0,0
40,14,10,0,1,0,0,0
41,13,10,0,1,0,0,0
42,138,11,1,0,0,0,0
43,89,12,0,1,0,0,0
44,137,13,1,0,0,0,0
45,90,14,1,0,0,0,0
46,10,15,1,0,0,0,0
47,111,16,1,0,0,0,0
48,98,17,0,0,1,0,0
49,97,17,1,0,0,0,0
50,95,18,0,0,1,0,0
51,114,19,1,0,0,0,0
52,94,20,1,0,0,0,0
53,29,21,0,0,1,0,0
54,20,21,0,1,0,0,0
55,22,21,1,0,0,0,0
56,24,21,1,0,0,0,0
57,33,21,1,0,0,0,0
58,25,21,1,0,0,0,0
59,21,21,1,0,0,0,0
60,28,21,1,0,0,0,0
61,27,21,1,0,0,0,0
62,40,21,1,0,0,0,0
63,32,21,1,0,0,0,0
64,23,21,1,0,0,0,0
65,30,21,1,0,0,0,0
66,19,21,1,0,0,0,0
67,31,21,1,0,0,0,0
68,34,21,1,0,0,0,0
69,26,21,1,0,0,0,0
70,110,22,0,0,1,0,0
71,50,22,0,0,1,0,0
72,49,22,1,0,0,0,0
73,43,22,1,0,0,0,0
74,74,22,1,0,0,0,0
75,70,22,1,0,0,0,0
76,75,22,1,0,0,0,0
77,67,22,1,0,0,0,0
78,69,22,1,0,0,0,0
79,68,22,1,0,0,0,0
80,109,22,1,0,0,0,0
81,45,22,1,0,0,0,0
82,76,22,1,0,0,0,0
83,44,22,1,0,0,0,0
84,51,22,1,0,0,0,0
85,52,22,1,0,0,0,0
86,73,22,1,0,0,0,0
87,3,23,1,0,0,0,0
88,7,24,1,0,0,0,0
89,127,25,0,0,1,0,0
90,65,26,0,0,1,0,0
91,64,26,0,1,0,0,0
92,58,27,0,1,0,0,0
93,123,28,1,0,0,0,0
94,42,29,1,0,0,0,0
95,41,30,0,1,0,0,0
96,37,31,1,0,0,0,0
97,38,31,1,0,0,0,0
98,39,31,1,0,0,0,0
99,96,32,1,0,0,0,0
100,9,33,1,0,0,0,0
101,84,34,1,0,0,0,0
102,18,35,1,0,0,0,0
103,15,35,1,0,0,0,0
104,16,35,1,0,0,0,0
105,17,35,1,0,0,0,0
106,77,36,1,0,0,0,0
107,78,36,1,0,0,0,0
108,129,37,1,0,0,0,0
109,128,37,1,0,0,0,0
110,8,38,0,0,1,0,0
111,103,39,0,0,1,0,0
112,120,40,1,0,0,0,0
113,36,41,1,0,0,0,0
114,35,41,1,0,0,0,0
115,126,42,1,0,0,0,0
116,53,43,0,1,0,0,0
117,54,43,0,1,0,0,0
118,12,44,1,0,0,0,0
119,132,45,1,0,0,0,0
120,131,46,1,0,0,0,0
121,88,47,1,0,0,0,0
122,135,48,1,0,0,0,0
123,113,49,0,1,0,0,0
124,112,49,1,0,0,0,0
125,71,50,0,0,1,0,0
126,72,50,0,1,0,0,0
127,82,50,1,0,0,0,0
128,83,50,1,0,0,0,0
129,48,51,0,0,1,0,0
130,47,51,1,0,0,0,0
131,46,51,1,0,0,0,0
132,93,52,0,0,1,0,0
133,1,53,1,0,0,0,0
134,2,53,1,0,0,0,0
135,124,54,1,0,0,0,0
136,11,55,1,0,0,0,0
137,136,56,1,0,0,0,0
